S.No.,Jokes
890,I promise to remain the same grounded, gracious, friend I've always been after winning $7 from Powerball #dreams
891,[i start thinking about an imminent problem] Hmm this is unpleasant. I better address this situation by not thinking about it anymore
892,In case you wondered what married life is like, my wife is yelling at me for making her forget why she was yelling at me.
893,[stranded on deserted island] *spells out message in rocks* WHAT'S THE WIFI PASSWORD
894,Minimum Wage, Maximum Rage: The life of a Twitter opinion haver
895,Please don't advertise your "three-egg omelet." I want plausible deniability regarding how many eggs I am about to eat.
896,"And what do your parents do?" BABY COW: Well, my mom is basically a vending machine and my dad is hamburgers
897,the human body is about 70% water but there is not one fish chillin inside of us smh dam humans wack as hell
898,My favorite part of the song is the beginning when the rapper goes "Uh oh" like both he and you are about to embark on an unexpected journey
899,With Facebook, you can stay in touch with people you would otherwise never talk to, but that's only one of the many awful things about it
900,"The main thing about being a woman is trying to lock in moisture" -TV
901,In the future, Martian singers will have to drop their albums 62% earlier in order to account for reduced gravity on Mars.
902,Doctors just assume I want all my blood at a particular pressure.
903,I just want to win the Powerball lottery and eat unlimited carbs for the rest of my days.
904,America's flag should be a picture of a deep-fried smartphone with bullet holes in it
905,Pilot [on intercom]: You guys want to see a dead body?
906,[me explainin to the kids why they're having soup and one cheese singlet for dinner] there's a place called online & im very important there
907,People are always asking me for advice. I finally have some to give: Make every light switch a dimmer switch.
908,nothing is more unattractive than insecurity unless that doesnt sound right haha i mean whatever you guys think
909,the best thing about being in a relationship is you can get crippling emotional abuse any time you want
910,How bad is my career? I met a homeless guy on the beach in Los Angeles & thought "Wow this guy has it made"
911,i dont care what anyone says, i dont have a follow up statement i just dont care what anyone says.
912,write pizza as all the answers for homework because pizza is always the answer
913,In 4th grade i pegged my gym teacher in the butt with a dodgeball then pretended to tie my shoes as he turned around. they were velcro
914,When you're checking for murderers in your house, don't just yell out "hello!" that gives them the upper hand. Yell, "YOU AINT SHIT!"
915,I like how supermarkets don't give a shit if an avocado is anywhere near ripe. They're like "here, buy this, it may eventually become food"
916,I am going to live stream my extremely Mexican wife farting onto an 8x10 photograph of Donald trump at midnihgt
917,It still makes me sad to think there are people out there who have a favorite Kardashian.
918,Uncle Sophia wants to remind you that cooking spray does *not* double as lube in a pinch.
919,I'm allergic to bears. One bear bite & it's straight to the ER for me.
920,Prepping for the first day of work after a long holiday break. Currently watching YouTube videos to re-learn how to put on pants.
921,Pretty disappointed to find out HGTV doesn't stand for Hugh Grant TV
922,"Feeling sad? We can help make it worse" - online dating
923,You have something big inside you. Share it with the world: MetamucilTM
924,[waking up as an adult] What a beautiful day. I wonder what parts of my body will hurt today
925,Ordering at McDonald's & the cashier asked if my child wanted a Happy Meal. I explained the toxicity of equating consumerism with happiness.
926,Once a person turns 60, the "reply all" feature should no longer be available to them when sending emails.
927,Yo you guys ever try hanging out with people you like who also like you? Shit's dank af
928,I save a ton of money on teeth whitening by not smiling.
929,Can I go to a spa and hire someone to pop the pimples on my back? Like what do single people do about back pimples?
930,*desperately tries to get screaming newborn daughter latched onto my nipple* hmmmm. she must not realize I'm a feminist
931,Hm im scared of getting murdered. better go watch 20 tv shows about murder
932,Responded to a "you up" text at 3AM with "Let me play with your teeth." The reply ten minutes later: "no." This is already my favorite year.
933,I'm doing a book signing at Barnes & Noble today. Nobody asked me to. It's not even my book.
934,If at first you don't succeed, you're probably assembling furniture from IKEA.
935,On a scale of 1 to 10 on the hungover scale I'm at "can't handle this conversation with my mom about a hickey."
936,You still have 10 more hours to lose all the weight from your last New Year's resolution. Hurry !
937,The best thing to do on New Years Eve is set the microwave timer with the countdown so the first thing that happens that year is Pizza Rolls
938,My New Year's resolution is to stop eating so much candy, so I can focus more on cookies.
939,All across the United States of America, at this very moment, right now.... Kelsey, Madison and Taylor literally can't even.
940,"Squad goals," I said, aloud, to nobody, as two rats helped each other move an entire bagel into a hole in the subway tracks
941,Carrot Top's hair should be green. Either that, or I don't understand the anatomy of a carrot as fully as I think I do.
942,*me holding a human baby* i think this cat is broken
943,this is my son Mason. yes like the shitty cheap mass produced jar. i named him that because its a good name for my underwhelming baby boy
944,you become your "real you" when you are hunched over eating a burrito on the toilet and you look up and see yourself in the mirror
945,Parties: for those times you're just dying to clean up twice in twelve hours.
946,It's sad that they drain power from so many horses to make car engines run.
947,"Wow the service here is really good" - snail after waiting 40 mins for a Big Mac
948,No tables? Maybe THIS will change your mind [slides maitre d' piece of paper that says "It's my birthday"]
949,My heart goes out to the teenage girls in California who, due to the drought, can no longer take "unusually long" baths like we did
950,The worst thing about babies is how little they appreciate all the sleep they get.
951,We grew up so poor we could only play Dungeons.
952,s/o to the first person who saw a horse and was like "YO i wanna sit on that thing and make it take me places"
953,Granny Smith must have been a shitty person because her apples suck.
954,*something awful happens* *checks if Mercury is in retrograde*
955,My resolution for 2016 is to call Starbucks "Starbrights" and Reese Witherspoon "Ruth Witherspooks" to keep my grandmother's legacy alive.
956,"Where's Waldo?" books become more thrilling if you think "Okay... Waldo's my brother and he's off his meds and will die if I don't find him."
957,So embarrassing -- I was scrolling thru an ex's old photos and accidentally liked one & then called her & told her I still love her & cried
958,FYI Don't make snow angels in a dog park.
959,Uber driver just asked me "how much would you pay to go swimming in the sky?" I wish I hadn't seen how dilated his pupils were. Also, $975.
960,Bill murray banged my mom and everyone chalked it up as yet another fun silly thing bill murray did but he destroyed my family
961,the Grinch was a religious minority w/ legitimate issues of systematic injustice & economic discrimination & the movie about him is bigotry
962,The best part of having a beard is that it covers up like 40% of my terrible face
963,If your gift says "from Mom and Dad" you just know Dad has absolutely no idea what's inside it.
964,*sits perfectly still for a 12-hour portrait painting* "Delete it."
965,U ever squeeze out a turd so big that it feels like u traveled through time once it's out? anyway forgive me father for i have sinned
966,My friend's kid just turned 7 and he's an amazing child and she loves him. To be blown away by more original content, please see Facebook
967,"love is the most powerful force in the universe" wrong! huge explosions are
968,unrelated but I believe strongly that Woody Woodpecker is a lesbian
969,Ladies & gentleman this is ur captain speaking. I havent seen the new Star Wars yet. If I hear u discussing spoilers I will crash this plane
970,I feel like a lot of single women have been naming their cats Adele this year.
971,so true story, i just mindlessly outstretched my fingers to graze the rear end of a Macy's mannequin that turned out to be a real human man
972,I am the designated driver of 5 40ish women attending a wine tasting. Your thoughts and prayers are appreciated during this difficult time.
973,Rudolph's red nose is actually the result of a parasitic infection in his respiratory system. Stay woke.
974,You say "bed." I say "horizontal worry pod of nocturnal overanalysis." Let's not get caught up in semantics.
975,Asking "Why aren't you married yet" is like asking "Why haven't you jumped from a moving car yet?" B/c it's painful and not required
976,[yelling over loud strip club music] DO YOU ACCEPT KOHLS KASH
977,I long for a slightly simpler time when old people with fifteen types of produce were too intimidated to use the self checkout
978,if at the end of every year you find yourself posting on social media how "this year sucked," it's time to examine the common denominator
979,Sometimes I open my mouth and a dad joke falls out and we both just need to walk away from that and remember better times ok
980,i bet Slash has a lot of trouble trying to tell people how to get to his website
981,Dudes don't like it when you ask if their salmon-colored pants are wild or farm-raised
982,I saw mommy kissing Santa Claus. Then he put a black rubber ball in her mouth with a strap around her head I'm just telling you what I saw
983,(new york guy murmuring "eyy im walkin here" over and over in his sleep) aww hes having a dream where hes running
984,We take it for granted today, but a single Dorito has more extreme nacho flavor than a peasant in the 1400s would get in his whole lifetime.
985,I had a rib removed so I could cry further into my lap
986,Some days i think im slightly intelligent, other days i try to take a screenshot of my cracked phone screen
987,a fun way to save money this christmas season is to change your name and move away
988,They're demanding figgy pudding. They won't go until they get some. What do I do? Call the cops? I'm calling the cops.
989,Just got home to find the doors ripped off and everything gone. What kind of bastard could do that to my chocolate advent calendar?
990,The only problem with shopping online is that you can't sit on a bench in the mall and judge everyone else who walks by.
991,Woops! Accidentally hit "reply all" when I only meant to tell one co-worker to kill himself.
992,*spreads toilet seat cover over santa's lap before sitting down*
993,I'm sorry that you invited me over to your apartment for dinner and I created a negative Yelp review about the experience
994,This question is only for the fellas: You ever kick back in your man cave and think about what a strong feminist ally you are?
995,hey sory i just saw this mesage u sent last month even tho all my notifications make sounds and my phone is in my hand even when im sleeping
996,Sometimes I picture my wedding and other times I take off one pant leg stare into nothing for 15 minutes then take off the other leg
997,Did you know: the human body is 60% water, 20% hair, 34% rope, 9% tubes, 12% earrings, 99% eyes, 13% jubjubs, 6% dingdongs, 100% crannies
998,how do I keep my skin looking so young? it's all thanks to [turns to camera smiling] an ancient curse [locusts pour from my mouth & eyes]
999,riding that line between i wish i didn't have to eat to live and food is the only thing that comforts me
1000,Chasing away everyone who's ever tried to get close to you is a great way to save money on Christmas shopping.
1001,Is it ok if i touch the paintings i have poor eyesight. also i have to have BBQ sauce on my hands because of religion
1002,I put off things I don't want to do until tomorrow because a small part of me is like "Well maybe I'll be dead by then"
1003,eating dinner with a gun in both of my hands is challenging but i realized i can just shoot the food and catch the splatter in my mouth
1004,Ordering a decaf coffee is like ordering a picture of food
1005,As an adult, I have to do some lame things like pay bills & have responsibilities. But I can also eat ice cream for dinner.
1006,[david attenborough voice] wolves, also known as nature's best animal, have been cool for hundreds of thousands of years
1007,[picking a career as a kid] I just want to do something that matters [many years and jobs later] Oh right nothing matters
1008,life hack #1 never poop before work even if u are about to shit yourself on the way cuz that just means u get one more break
1009,My best friend back home just had his first kid but I also will be giving birth today...to some relatable content
1010,I shoudl not be expected to put my knee on the ground to propose to a woman, the same ground where the animals shit,
1011,Just landed my dream job of "before" picture
1012,New music is so bad you should be cool like me: longing for a fictionalized version of the past you werent even alive for in the first place
1013,I saw a snail driving in a car with a big s on it. It was amazing to see that escargot
1014,Date - "so...are you going to be doing that for the whole date?" [i can't hear her over my tuba]
1015,When I was a kid I made friends with the wrong people. "those aren't people, those are stray dogs" my mom would say as she dressed my wounds
1016,After months of practice, I can finally touch my toes. (By telling them that they are beautiful.)
1017,At this point, a phone book is just a list of people who recently died in their homes before cancelling their landline.
1018,I clicked "Going" on a Facebook event last week but now I feel like staying in... *masked tough guys throw me in a van* "You committed, pal"
1019,How about a baseball cap that says "BALD", so you can cover your gross bald head, but when you take it off no one is surprised/disappointed?
1020,Someone just honked to get me to get out of my parking spot faster so now I have to sit here until both of us are dead
1021,funny how 8 glasses of water a day seems impossible, but 8 beers a day seems necessary
1022,99 cent stores must've had some pretty nice shit in 1921
1023,Shout out to people who rate & review things cuz I don't like to rate or review things but I like to know how things are rated & reviewed
1024,I just yelled "Where's the baby?!" while holding the baby. I can't believe it was legal for me to reproduce.
1025,Reminder guys: if a girl undresses in front of you don't just keep saying "this is terrific" over and over again ok
1026,i know you kids love uber and airbnb, so today i want to tell you all about the real 'sharing economy.' that's right. communism
1027,An American's "inside voice" is the rest of the world's "outside voice".
1028,It turns out "Flasher" wasn't one of the reindeer and I'm being asked to leave this holiday party.
1029,[thinks about me petting a very cool dog] me: oh hell yea
1030,"millennials sure do love APPS!!" i can edit a movie on my phone. you used to harass women for recreation. go back to watching suits grandpa
1031,[priest bends over my coffin seductively revealing a thong to the entire funeral]
1032,s/o to chins tho for scientifically proving that two is not always better than one
1033,Accidentally left my phone at home, now I know how Kevin McCallister's parents felt.
1034,its funny when people are like "whos to say whats truly 'cool'... who gets to define cool". its like, come on dude. hot babes decide it. duh
1035,Man it would suck if I died on this plane mostly because of some unused gift cards I was waiting for "the right time" to use.
1036,IDEA: Cry HoleTM - the hole you can cry in
1037,I don't care about following a 'funny' celebrity from tv on Twitter-instead I look up who writes for their show then follow that person.
1038,People with private Twitter accounts should know that withholding their tweets is like not letting us talk to their toddler on the phone.
1039,*sits 27 hours for an oil on canvas portrait* omg delete that. Bartholomew i'm serious do not fucking hang that in the Great Hall
1040,*sees a tweet i don't like from a person i follow voluntarily on a free website* I am entitled to compensation
1041,LITTLE KNOWN FACT: The dye used to color Sesame Street's Elmo red is made from the blood of virgin Canadians.
1042,Thanks for declaring on Facebook that you've found "true love." I look forward to watching it implode in real time.
1043,ayo girl are you an unanswered email? bc you are stressing me tf out
1044,Them: Hi. I'm happy to meet you. Me: Hi. I'm awkward and already trying to find a way out of this conversation.
1045,I had to tell my toddler not to step on the baby. Four times. All my grandchildren from her will be cats.
1046,TED talk about staying in bed
1047,Growing up is watching your parents morph from superheroes to ordinary people just trying to figure stuff out.
1048,finally found a way to refer to myself + dog in a way that's creepier than the mother/child dichotomy: FUR HUSBAND and SKIN WIFE
1049,What if a man existed w/one hand that's a steak and the other is lobster plus unlimited salad bar? This is the plot of "Edward Sizzlerhands"
1050,As a kid, I used to think $5,000 was a lot of money. But now that I'm an adult, I think it's a tremendous amount of money.
1051,When I was a kid, we had to do emojis with our face.
1052,Never trust someone who tells you mashed cauliflower tastes just like mashed potatoes. They'll lie to you about other things, too.
1053,I have a flight to catch but there is a cat on my lap
1054,i signed up for the cheapest life insurance i could find, it entitles my family to a tray of Wendys hamburgers when i die
1055,(for this tweet pretend you've heard of the 1999 French film "Human Resources") Human Resources 2: This Time it's Personnel
1056,There is little difference between how a horse eats hay and the way my children consume spaghetti.
1057,My friend took a whole bottle of chill pills and chilled himself
1058,"woofwoof, woof" -my neighbor's dog telling me his views on politics lol you gotta look at both sides tho fam
1059,pull a prank on your boss by not showing up to work ever again, instant classic
1060,The older I get the more I realise how important it is to have two different cereals on the go at the same time so you don't get bored.
1061,So in conclusion, the burglars in Home Alone 2 absolutely would have died. Thanks for coming to my Ted talk
1062,the 10,000 hours rule is simpley not true i hav said "helo bird" to a bird for over 10,000 hours but i still cam't talk to birds
1063,hah woops!! someone asked me what's up, i tried to say "not much" and "just chillin" at the same time, accidentally said "hitler was cool"!!
1064,There's seldom a fun word that follows "early onset."
1065,Do you ever think about how "Chips Ahoy" is meant to evoke a weary ship captain finally encountering a cookie with a decent amount of chips
1066,I'm pregaming for Thanksgiving by eating 15 ham steaks and yelling at someone's family.
1067,Today I officially hit the "I guess these shrank in the dryer" phase of my weight gain denial.
1068,Yeah food is good but idk I guess I just always wanted to be able to devour souls as well
1069,In American politics, what's important is that you pick one of two equally bad sides and defend it no matter the awful garbage it produces
1070,Before we begin, does everyone know how to leave the cursor in the middle of every video? Good. - 1st day of teaching school
1071,Rule of thumb: if the picture you took of someone doesn't look like the pictures they post of themselves, don't tag them!
1072,If you're gonna write a 300 word Instagram description for your photo, go ahead & throw a murder confession in there. Nobody will ever know.
1073,if u pressed the right numbers on yr phone u could be talking to dwayne the rock johnson in 20 seconds
1074,*feminist at thanksgiving dinner* "dad will u use your white privilege to pass the salt"
1075,stay safe this international men's day. make sure your man is at least 165 degrees in the center
1076,A zombie apocalypse would be so much funnier if we started burying people in those fuzzy duck slippers that quack when you walk.
1077,At this point I'm a little offended the lady at #Chipotle still asks what I want. This is my 4th burrito today. Bitch, I know you know me.
1078,Stepping on a #LEGO sucks. But showing a bunch of kids I know how to use the F word as a noun/verb/adjective in one sentence is good, right?
1079,Wait till the hamburglar finds out about money
1080,It's impossible to embarrass me because once the door opens on you while you're pooping on an amtrak train, you become untouchable
1081,Teenagers are so cute when they think you won't hit them
1082,An entire generation does not know what the hell is happening when a movie pans over to a wall calendar and the pages magically fly away.
1083,As a teen I assumed the best thing about being an adult would be going to bed as late as I wanted. Little did I realise it's the opposite.
1084,the guy who named eggplants, pineapples, and Guinea pigs is all the same guy
1085,Just got real sweaty because I started thinking about a babe in an ankle-length all denim overall dress
1086,my doctor refuses to fight me and i think it's cause he saw how i barely cried during my flu shot
1087,Being a grown up is throwing something at the trash can, missing, then actually going over and picking it back up.
1088,My toddler found a bottle of Axe body spray I got as a free sample, and now she's wearing a Tapout T-shirt and calling everyone "bro."
1089,I just want to make enough money to live in a neighborhood where Starbucks doesn't lock their bathrooms
1090,Millions of years ago dinosaurs ruled the earth but like all great empires they were eventually brought down by corruption and voter fatigue
1091,[hears a dog in the distance barking in the middle of the night] Yeah I'd love to be friends.
1092,"Hola! I'm Senor Coconut, children" [cracks head on the pavement. Children scream] "Drink me. Drink me. I'm full of vitamins and minerals"
1093,I've been getting a lot more use out of my treadmill since I put a blanket and pillow on it.
1094,I seared steaks in our home without adequate ventilation. Now there's a delightful and very visible meat cloud hanging over us.
1095,It's a sad day today for Eminem fans. Not for any particular reason, just because their lives are generally very sad and meaningless.
1096,My 4yo just came into the living room, crying, "I don't want Santa to see me when I poo."
1097,I used to feel tired and sluggish. nothing could get me out of the house. then i tried MethTM and boy did i burn my house down
1098,True intimacy is chatting within a shared Google Doc
1099,Americans kill more Americans than ISIS kills Americans so we should probably play it safe and not let any more Americans into America.
1100,It's probably not relevant at all that the big tough republicans always seem to be the most terrified of everything.
1101,Pretty sure you can see me practicing my "not all Muslims are bad" Thanksgiving talking points in the bg of a student film in Wash Sq Park.
1102,*throws plate of Kraft Mac and Cheese at wall* I TOLD YOU I CAN'T EAT SPICY FOOD
1103,Lil' Kim implies the existence of a larger Kim
1104,How do I apply this ointment "liberally" without compromising my conservative christian values?
1105,You know you're an adult when you get excited over how much crap you just fit into a dishwasher.
1106,I fundamentally understand pacman because I too live my life sprinting after food
1107,we're here, we're queer, could we get another basket of breadsticks
1108,"the names bond, james bond" [5 min later] STARBUCKS BARISTA: i gota frappe for borbjorbple
1109,*confidently throws the empty macaroni box in the garbage because I don't need instructions* *pulls the box back out 3 times to make sure*
1110,When I remember trees are alive I like to picture their brain is the roots and the trunk and branches are its legs dangling into the sky.
1111,"It feels like it was only 7 years ago" - dogs recalling memories
1112,Sorry I'm late, someone showed me an otter video, and then I looked up more otter videos for like half an hour.
1113,FRIEND: Do you want to go [i don't hear the rest because i'm already sighing too loudly]
1114,I had a nightmare where Footloose was rebooted as many times as Spiderman.
1115,Science fact: a dog extracts more information from smelling a pile of excrement than a human does from reading the Daily Mail.
1116,Yesterday I clicked on 10 Things You Didn't Know About Denny's and number one was "It used to be called Danny's." get OUT of here
1117,When you whistle at a bird, it's as offensive to them as saying "ching chong ding dong" to a Chinese person.
1118,When ur at chipotle n u ask for guac and they say "its extra is that ok?" if u say its not ok they give it to u for free
1119,It would be funny if after making love to Jennifer Lawrence she stood up & fired 50 or 60 arrows into my sweaty body.
1120,i know we have cell phones and the internet, but i kinda expected the world to look like Tron by now.
1121,I totally bombed my LSATs by writing in "Possession" for nine-tenths of the answers.
1122,If i could have dinner with anyone alive or dead i would probably just cancel on them at the last minute
1123,Sorry I put a Gryffindor scarf on the baby Jesus in your nativity scene and called him Hermione Manger.
1124,BREAKING NEWS: vaccinations do not work [camera cuts to several deflated balloon animals] look at these poor fellas
1125,when I die I want you to save my skull and use me as a paperweight (and kiss me when no one is looking)
1126,"I never weigh myself" -People who weigh themselves daily
1127,me on my first date: "for me to continue this relationship you need to choose correctly" [i pull a frog & a lizard out of my pocket]
1128,kids now have dating apps but back in my day we had to run through the city shirtless with a megaphone screaming "why does no one want me"
1129,New study finds that everyone you disagree with is like so, so stupid.
1130,I vote we change the name "hoodie" to "bother-my-neck-on-the-couch-ie"
1131,if you come into a restroom & announce that you've "had to piss for two hours" I'd better hear a strong, frothy stream for at least a minute
1132,If you need a fake British pub name for an elaborate lie the formula is Animal+Gardening tool= we had a proper laugh at the Frog&Shovel mate
1133,Oh you're upset about a thing? Allow me to remind you that there are other, more upsetting things. Somehow I think this should help you
1134,Are you guys gonna enjoy your weekend I'm not I'll probably obsess over the problems I create in my mind then maybe eat something I regret
1135,"Zyzzyva, Zyxst, Zyxt..." - Noah Webster's last words
1136,The best part of finishing a long piece of writing is when the laptop hits your talentless loser foot as you boot it off a roof.
1137,Roommate: (looking over my shoulder at my files) What's "goat_in_heels.wav" (I slam my laptop shut & throw it through a closed window)
1138,My wife spent two weeks deciding what color to paint the bathroom. I got a cat on my 9th birthday and named it Cat.
1139,i like shaking hands with old guys with really tough hands because it feels like im grabbing onto a horse saddle
1140,My suicide notes just keep turning into grocery lists.
1141,If eating fish is so good for your brain, how come sharks always score so poorly on the SAT?
1142,on star trek every time they beam down to a new planet they get their tricorders out to find somewhere to go on yelp
1143,You all think Trump is funny now but just wait for the wave of white-trash kids named "Donald" entering kindergarten around 2020.
1144,"I Want To Rock And Roll All Night" just came on in this coffee shop and EVERYONE is singing along to it VERY QUIETLY
1145,I feel like Frosted Flakes gives kids an unreasonable expectation of how friendly tigers are when you try to feed them a bowl of cereal.
1146,I spend 90% of my time in Texas doing u-turns under highway overpasses trying to get somewhere I can see but can't drive to for some reason.
1147,Just changed someone's "fun" name in my phone back to their normal name to regain some control over my life.
1148,Probably the hardest part of being an adult is trying to come up with excuses to tell your friends about why you go to bed so early.
1149,Dear Couples Who Fight In Public, stop trying to whisper and would it kill you to include some backstory.
1150,sometimes to end a text convo thats going on too long u gotta break out the big guns and say you're going to bed. at 2:30 in the afternoon.
1151,Dentists' offices only come in two layouts: "open-floor concept Smarthome with a medical twist!" or "design attained perfection in 1964"
1152,The worst is when someone ceases but they don't desist. That's some bullshit right there. Gotta do those simultaneously and whatnot.
1153,just got mad and flipped a table but it spun all the way around in landed right side up. everyone in Applebee's is clapping
1154,i was gonna make a mexican joke but i decided i'm not gonna cross that border u feel me #Respect
1155,the times they are indeed a changin..but the one time thatll never change is Lunch time. lock them engagements in if you think this is good.
1156,oh hey mom. no i'm just Skyping with my girlfriend. what do you mean am i just playing a Vine of a girl saying i love you over and over
1157,turn on: when you double space your essay and it goes from 3 to 5 pages
1158,[every 3 hours] You know what screw it jm going to treat myself
1159,isnt it cool how we all accepted that we all know the names of streaming porn sites and didnt ask each other how we knew of them
1160,I honestly don't know how much longer I can be expected to go on before I inherit a manor with a horrifying secret
1161,Scientist: a rat will choose cocaine over water until it dies. I've repeated this experiment thousands of times, because I hate rats so much
1162,[starts 2 crack beneath crushing loneliness] anyone wanna get frozen yogurt or something, maybe orchestrate an elaborate jewel heist I dunno
1163,If I ever die, I'm going to be so mad about all the times I ate kale.
1164,I like when you see a guy with a beard and you can immediately tell he's fashioned his entire thing/vibe/life around having that beard.
1165,"There are plenty more fish in the sea."  Terrible way to console a recently-dumped environmentalist who knows overfishing means otherwise.
1166,Instead of yelling at jerk who cuts u off in traffic just chuck a realistic rubber snake in their window & yell "have at him Damian!"
1167,the easiest way to get a ghost to stop hauntimg u is to change ur wifi password and act like u hav no idea why he cant conect to it anymore
1168,"Bacon gives you cancer" is the 2015 version of "touching yourself causes blindness."
1169,[about to see a boob for the first time] "ok, play it cool, play it cool. don't say anything stupid" [girl removes bra] "whoopeeee"
1170,Umlaut is a pretty fancy word for what are basically just letter nipples.
1171,I just Tokyo drifted my shopping cart into the checkout line and now all the moms in this grocery store want to have an affair with me.
1172,FedEx missed me and left a note saying I can pick up my delivery, but joke's on them -- I no longer have the strength to do anything at all
1173,This Halloween, make your friends run in terror by walking into their parties as "guy with acoustic guitar".
1174,1. Read directions on box. 2. Throw box away. 3. Pull box out of the trash 15 seconds later. 4. Repeat.
1175,If you can't handle me at my Walmart, you don't deserve me at my Target.
1176,I'm still not convinced that "the club" is a real place. Rap songs might as well be about hanging out in Westeros.
1177,Now that there are no phone booths anymore Superman just changes in abandoned Blockbusters.
1178,Made it to that level of dad where I just called dibs on the TV that I bought in the house that I own with the cable I pay for.
1179,Jus waited for a stop sign to turn green
1180,I just had the biggest bowel movement of my life then turned around and the toilet was empty. Needless to say I completely lost my shit
1181,video games hav a negative effect on children they teach them to learn and adapt to any world they find themselves in adn overcome obstacles
1182,is this Sara? hi, this is Tom from HS. my god its been years! Anyway, im calling because u changed your HBO Go password & I need the new one
1183,I got my wisdom teeth out solely to make a cute viral video of what I said coming out of anaesthesia, but I used the N-word too many times.
1184,i'm just like one of the ladies in the commercials! dancin around with nair on my pits! usin a tampon as a mic as i lipsync the cranberries!
1185,The 'M' in 'MTV now stands for 'MISCELLANEOUS'.
1186,Day 1 of tea instead of coffee I was ready to kill myself, but now on the fourth day, I'm ready to kill others
1187,ruins all credibility when a rapper says he's "depressed" in a song. know who else is depressed? my 14 year old son Greg
1188,Just walked by the place I had brunch last weekend and one of my friends is still sitting there talking about herself
1189,My cat just sneezed directly into my eyeballs so I'll probably be dead soon. Goodbye, guys. No, you can't have my stuff.
1190,if somone acidentaly walks in while ur in the bathroom, do not react at all. this avoids embarasment & makes them wonder if they are a ghost
1191,*Social justice ppl arrive at nintendo headquarters in japan* "Game... BOY?" *merciless, graphic slaughter of nintendo employees ensues*
1192,It's crazy people freak out about ghosts but are totally fine with actual, horrible human beings.
1193,"So how was your date?" I talked about my obsession with reducing fractions too much "That wasn't a good idea" Yeah well, hindsight is 1
1194,"This is your Captain speaking. My co-pilot just bet me we can't do a barrel roll. So fasten your belts cuz I got five bucks riding on this"
1195,25 pumpkins only 90's kids could spice
1196,What idiot called it a book shelf instead of a know ledge?
1197,there are some really great cocktails you can have when it gets cold. Gin and coffee, gin and hot water, microwaved gin, go nuts
1198,Shout out to all the frozen desserts out there. Step to me with a dessert that ain't frozen and I'll snap your damn face off
1199,I would like an Instagram feed of the piles of shit people push out of the way to get the perfect shots in their homes.
1200,looney toons fans: ah, good... once again elmer has failed to put food on the table... he won't survive the winter. this is truly hilarious
1201,I would like to give thanks to the brave men and women who died a long time ago tasting which plants were edible and which plants were not.
1202,Umm if Jesus only died for my sins to manipulate me into joining his religion maybe he's not such a "nice guy"
1203,Owning a selfie stick is a good way to tell people that you've driven all of your friends away with your narcissism.
1204,If you told me in 1995 that you had to use an mp3 player to copy programs to a telephone in the future, I'd assume you had brain damage
1205,Gee this couple posted so many selfies during their trip. They must've had a great time proving us they had a great time.
1206,I was discredited as a paleontologist when my discovery of a new dinosaur species turned out to be the skeleton of Clifford the big red dog
1207,*man lies on death bed* But it can't be my time. I have...so much more...constructive criticism to give...
1208,[the boss walks by my desk and catches me looking at sonic anime] Me: the hackers are at it again. I was trying to visit church. com
1209,when someone near me yawns i can't help but match the yawn with a visually similar scream
1210,all your favs are going to a special cause tonight it's called "my low self esteem"
1211,I feel like if there ever was a zombie apocalypse I'm so numb to them at this point I wouldn't even bat an eye.
1212,is there a sadder metaphor of ur adulthood destroying ur childhood than the fact that to get to work evryday u hav to burn up dead dinosaurs
1213,I don't even know how to read a digital clock I can only tell the time on the ones with the hands
1214,I bought "extra whitening" toothpaste and now my teeth are spending a year in Korea teaching English
1215,So hard to hurt a vampire's feelings because you can't say "how do you sleep at night?" or "how do you look at yourself in the mirror?"
1216,Imagine William Shakespeare in a swimming pool, perplexed and terrified as children just splash the shit out of him
1217,one time a girl asked for my number and i got so nervous that i accidentally gave her my social security number
1218,A 3-foot long chocolate bar is "fun size" not a 2-inch one. I'm not afraid to be controversial.
1219,I can tell within seconds of meeting someone if they'd be annoying on a group email.
1220,The Whole Foods next to this movie theater is perfect if you want to sneak in your own snacks, but don't want to save a lot of money.
1221,[Best man speech] I HAVE DEFEATED THE OTHER MEN IN THIS WEDDING PARTY TO EMERGE AS THE BEST, THE MICROPHONE SHALL BE MINE FOOLISH MORTALS!
1222,My goal in life is to be as chill as Forrest Whitaker's left eye
1223,"Can I get 2 boxes of Sudafed?" "Sorry, by law you can only buy one at a time." "Okay then just the one box of Sudafed and these 7 guns."
1224,No one will ever be as excited as a dad that just drove somewhere in less time than the GPS said it would take.
1225,Being an adult is like being a Quentin Tarantino movie: it starts out real cool, there's lots of cursing, it's very confusing, everyone dies
1226,Weird how TV characters hardly watch any TV.
1227,Everyone in LA is so hot and I am so not that when I walk into places they think I'm a dog and they give me treats & water never been better
1228,WHAT DO WE WANT? AN END TO AUTO-CORRECT ERRORS! WHEN DO WE WANT IT? COW!!!!
1229,Making people uncomfortable & upset really gives me the most happiness in life . Above all else , I hope to make you feel wrong
1230,oh, youvve read a few academic papers on the matter? cute. i have read over 100000 posts.
1231,[Spider sits at computer and Googles probability of being eaten by human in his lifetime] Holy shit Sharon, COME SEE THIS
1232,The Karate Kid grew up to be The Karate Man and now he's the Pizza Hut delivery guy with a ponytail who tries to talk to you about swords.
